,Dataset,Charset,Test,Sp1,Sp2,pvalue
314,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Mo1,-42
315,Cognato_2001,ef1a_1stpos,MPTS,Av5,Mx1,-42
316,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Mx1,0.13967348724103157
317,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Mx1,-42
318,Cognato_2001,ef1a_1stpos,MPTS,Av5,Nob1,-42
319,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Nob1,-42
320,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Nob1,-42
321,Cognato_2001,ef1a_1stpos,MPTS,Av5,Pa2,-42
322,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Pa2,-42
323,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Pa2,-42
324,Cognato_2001,ef1a_1stpos,MPTS,Av5,Pet1,-42
325,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Pet1,-42
326,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Pet1,-42
327,Cognato_2001,ef1a_1stpos,MPTS,Av5,Pl4,-42
328,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Pl4,-42
329,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Pl4,-42
330,Cognato_2001,ef1a_1stpos,MPTS,Av5,Pil2,-42
331,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Pil2,-42
332,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Pil2,-42
333,Cognato_2001,ef1a_1stpos,MPTS,Av5,Pin1,-42
334,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Pin1,-42
335,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Pin1,-42
336,Cognato_2001,ef1a_1stpos,MPTS,Av5,Pro,-42
337,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Pro,-42
338,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Pro,-42
339,Cognato_2001,ef1a_1stpos,MPTS,Av5,Sch1,-42
340,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Sch1,-42
341,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Sch1,-42
342,Cognato_2001,ef1a_1stpos,MPTS,Av5,Sex1,-42
343,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Sex1,0.778223749041155
344,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Sex1,-42
345,Cognato_2001,ef1a_1stpos,MPTS,Av5,Sp1,-42
346,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Sp1,0.9402424948393607
347,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Sp1,-42
348,Cognato_2001,ef1a_1stpos,MPTS,Av5,Ste1,-42
349,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Ste1,-42
350,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Ste1,-42
351,Cognato_2001,ef1a_1stpos,MPTS,Av5,Tri4,-42
352,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Tri4,-42
353,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Tri4,-42
